"CBSA","DIV","CSA","Type","Population","CBSA Name","Div Name","CSA Name"
"23620",,"206","Micro","39,064","Gainesville, TX",,"Dallas-Fort Worth, TX-OK"
"23660",,,"Micro","51,374","Galesburg, IL",,
"23700",,,"Micro","72,849","Gallup, NM",,
"23780",,,"Micro","41,028","Garden City, KS",,
"23820",,"456","Micro","47,632","Gardnerville Ranchos, NV",,"Reno-Carson City-Fernley, NV"
"23860",,"396","Micro","61,065","Georgetown, SC",,"Myrtle Beach-Conway, SC-NC"
"23900",,"276","Metro","101,589","Gettysburg, PA",,"Harrisburg-York-Lebanon, PA"
"23940",,,"Micro","48,116","Gillette, WY",,
"23980",,"150","Micro","53,408","Glasgow, KY",,"Bowling Green-Glasgow, KY"
"24020",,"104","Metro","126,884","Glens Falls, NY",,"Albany-Schenectady, NY"
"24060",,"233","Micro","75,692","Glenwood Springs, CO",,"Edwards-Glenwood Springs, CO"
"24100",,"104","Micro","53,955","Gloversville, NY",,"Albany-Schenectady, NY"
"24140",,,"Metro","124,496","Goldsboro, NC",,
"24180",,"206","Micro","55,286","Granbury, TX",,"Dallas-Fort Worth, TX-OK"
"24220",,,"Metro","101,694","Grand Forks, ND-MN",,
"24260",,,"Metro","84,596","Grand Island, NE",,
"24300",,,"Metro","148,798","Grand Junction, CO",,
"24330",,,"Micro","45,237","Grand Rapids, MN",,
"24340",,"266","Metro","1,039,182","Grand Rapids-Kentwood, MI",,"Grand Rapids-Kentwood-Muskegon, MI"
"24380",,,"Micro","27,049","Grants, NM",,
"24420",,"366","Metro","84,514","Grants Pass, OR",,"Medford-Grants Pass, OR"
"24460",,,"Micro","27,067","Great Bend, KS",,
"24500",,,"Metro","81,816","Great Falls, MT",,
"24540",,"216","Metro","285,729","Greeley, CO",,"Denver-Aurora, CO"
"24580",,"267","Metro","315,847","Green Bay, WI",,"Green Bay-Shawano, WI"
"24620",,,"Micro","68,520","Greeneville, TN",,
"24660",,"268","Metro","751,590","Greensboro-High Point, NC",,"Greensboro--Winston-Salem--High Point, NC"
"24700",,"294","Micro","26,480","Greensburg, IN",,"Indianapolis-Carmel-Muncie, IN"
"24740",,,"Micro","48,002","Greenville, MS",,
"24780",,"272","Metro","176,484","Greenville, NC",,"Greenville-Kinston-Washington, NC"
"24820",,"212","Micro","51,919","Greenville, OH",,"Dayton-Springfield-Kettering, OH"
"24860",,"273","Metro","872,463","Greenville-Anderson, SC",,"Greenville-Spartanburg-Anderson, SC"
"24900",,,"Micro","40,334","Greenwood, MS",,
"24940",,"273","Micro","94,769","Greenwood, SC",,"Greenville-Spartanburg-Anderson, SC"
"24980",,,"Micro","21,379","Grenada, MS",,
"25020",,"490","Metro","78,896","Guayama, PR",,"San Juan-Bayamón, PR"
"25060",,,"Metro","388,082","Gulfport-Biloxi, MS",,
"25100",,,"Micro","21,409","Guymon, OK",,
"25180",,"548","Metro","261,156","Hagerstown-Martinsburg, MD-WV",,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
"25200",,,"Micro","27,765","Hailey, ID",,
"25220",,"406","Metro","128,850","Hammond, LA",,"New Orleans-Metairie-Hammond, LA-MS"
"25260",,"260","Metro","150,183","Hanford-Corcoran, CA",,"Fresno-Madera-Hanford, CA"
"25300",,"448","Micro","38,911","Hannibal, MO",,"Quincy-Hannibal, IL-MO"
"25420",,"276","Metro","565,008","Harrisburg-Carlisle, PA",,"Harrisburg-York-Lebanon, PA"
"25460",,,"Micro","45,110","Harrison, AR",,
"25500",,"277","Metro","131,717","Harrisonburg, VA",,"Harrisonburg-Staunton, VA"
"25540",,"278","Metro","1,213,123","Hartford-East Hartford-Middletown, CT",,"Hartford-East Hartford, CT"
"25580",,,"Micro","31,564","Hastings, NE",,
"25620",,"279","Metro","148,399","Hattiesburg, MS",,"Hattiesburg-Laurel, MS"
"25700",,,"Micro","28,877","Hays, KS",,
"25720",,"482","Micro","29,306","Heber, UT",,"Salt Lake City-Provo-Orem, UT"
"25740",,,"Micro","77,915","Helena, MT",,
"25760",,,"Micro","19,518","Helena-West Helena, AR",,
"25780",,"450","Micro","44,420","Henderson, NC",,"Raleigh-Durham-Cary, NC"
"25820",,,"Micro","18,947","Hereford, TX",,
"25840",,,"Micro","87,889","Hermiston-Pendleton, OR",,
"25860",,,"Metro","364,044","Hickory-Lenoir-Morganton, NC",,
"25880",,,"Micro","45,909","Hillsdale, MI",,
"25900",,,"Micro","196,325","Hilo, HI",,
"25940",,,"Metro","206,781","Hilton Head Island-Bluffton, SC",,
"25980",,"496","Metro","79,977","Hinesville, GA",,"Savannah-Hinesville-Statesboro, GA"
"26020",,,"Micro","69,505","Hobbs, NM",,
"26090",,"266","Micro","114,145","Holland, MI",,"Grand Rapids-Kentwood-Muskegon, MI"
"26140",,,"Metro","141,373","Homosassa Springs, FL",,
"26220",,,"Micro","22,938","Hood River, OR",,
"26260",,,"Micro","30,682","Hope, AR",,
"26300",,"284","Metro","97,994","Hot Springs, AR",,"Hot Springs-Malvern, AR"
"26340",,,"Micro","38,469","Houghton, MI",,
"26380",,,"Metro","211,179","Houma-Thibodaux, LA",,
"26420",,"288","Metro","6,636,208","Houston-The Woodlands-Sugar Land, TX",,"Houston-The Woodlands, TX"
"26460",,"104","Micro","61,481","Hudson, NY",,"Albany-Schenectady, NY"
"26500",,"107","Micro","45,686","Huntingdon, PA",,"Altoona-Huntingdon, PA"
"26540",,"258","Micro","36,520","Huntington, IN",,"Fort Wayne-Huntington-Auburn, IN"
"26580",,"170","Metro","360,603","Huntington-Ashland, WV-KY-OH",,"Charleston-Huntington-Ashland, WV-OH-KY"
"26620",,"290","Metro","444,908","Huntsville, AL",,"Huntsville-Decatur, AL"
"26660",,"288","Micro","85,299","Huntsville, TX",,"Houston-The Woodlands, TX"
"26700",,,"Micro","18,163","Huron, SD",,
"26740",,,"Micro","63,360","Hutchinson, KS",,
"26780",,"378","Micro","35,816","Hutchinson, MN",,"Minneapolis-St. Paul, MN-WI"
"26820",,"292","Metro","140,427","Idaho Falls, ID",,"Idaho Falls-Rexburg-Blackfoot, ID"
"26860",,"430","Micro","86,551","Indiana, PA",,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
"26900",,"294","Metro","1,989,032","Indianapolis-Carmel-Anderson, IN",,"Indianapolis-Carmel-Muncie, IN"
"26940",,"185","Micro","26,915","Indianola, MS",,"Cleveland-Indianola, MS"
"26980",,"168","Metro","166,520","Iowa City, IA",,"Cedar Rapids-Iowa City, IA"
"27020",,"361","Micro","30,048","Iron Mountain, MI-WI",,"Marinette-Iron Mountain, WI-MI"
"27060",,"296","Metro","104,415","Ithaca, NY",,"Ithaca-Cortland, NY"
"27100",,,"Metro","158,989","Jackson, MI",,
"27140",,"298","Metro","578,565","Jackson, MS",,"Jackson-Vicksburg-Brookhaven, MS"
"27160",,,"Micro","32,624","Jackson, OH",,
"27180",,"297","Metro","129,538","Jackson, TN",,"Jackson-Brownsville, TN"
"27220",,,"Micro","33,699","Jackson, WY-ID",,
"27260",,"300","Metro","1,447,884","Jacksonville, FL",,"Jacksonville-St. Marys-Palatka, FL-GA"
"27300",,"522","Micro","39,551","Jacksonville, IL",,"Springfield-Jacksonville-Lincoln, IL"
"27340",,,"Metro","192,685","Jacksonville, NC",,
"27380",,"540","Micro","51,594","Jacksonville, TX",,"Tyler-Jacksonville, TX"
"27420",,,"Micro","21,058","Jamestown, ND",,
"27460",,,"Micro","130,846","Jamestown-Dunkirk-Fredonia, NY",,
"27500",,"357","Metro","161,226","Janesville-Beloit, WI",,"Madison-Janesville-Beloit, WI"
"27530",,"142","Micro","66,295","Jasper, AL",,"Birmingham-Hoover-Talladega, AL"
"27540",,,"Micro","54,850","Jasper, IN",,
"27580",,,"Micro","15,297","Jayuya, PR",,
"27600",,"122","Micro","63,851","Jefferson, GA",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"27620",,,"Metro","151,056","Jefferson City, MO",,
"27660",,"324","Micro","31,405","Jennings, LA",,"Lake Charles-Jennings, LA"
"27700",,"496","Micro","29,833","Jesup, GA",,"Savannah-Hinesville-Statesboro, GA"
"27740",,"304","Metro","200,767","Johnson City, TN",,"Johnson City-Kingsport-Bristol, TN-VA"
"27780",,"306","Metro","135,871","Johnstown, PA",,"Johnstown-Somerset, PA"
"27860",,"308","Metro","128,344","Jonesboro, AR",,"Jonesboro-Paragould, AR"
"27900",,"309","Metro","176,759","Joplin, MO",,"Joplin-Miami, MO-OK"
"27940",,,"Micro","32,434","Juneau, AK",,
"27980",,,"Metro","164,180","Kahului-Wailuku-Lahaina, HI",,
"28020",,"310","Metro","335,020","Kalamazoo-Portage, MI",,"Kalamazoo-Battle Creek-Portage, MI"
"28060",,,"Micro","96,147","Kalispell, MT",,
"28100",,"176","Metro","110,801","Kankakee, IL",,"Chicago-Naperville, IL-IN-WI"
"28140",,"312","Metro","2,088,830","Kansas City, MO-KS",,"Kansas City-Overland Park-Kansas City, MO-KS"
"28180",,,"Micro","71,093","Kapaa, HI",,
"28260",,,"Micro","55,381","Kearney, NE",,
"28300",,,"Micro","76,109","Keene, NH",,
"28340",,"258","Micro","47,421","Kendallville, IN",,"Fort Wayne-Huntington-Auburn, IN"
"28380",,,"Micro","30,905","Kennett, MO",,
"28420",,"313","Metro","279,653","Kennewick-Richland, WA",,"Kennewick-Richland-Walla Walla, WA"
"28500",,"314","Micro","50,761","Kerrville, TX",,"Kerrville-Fredericksburg, TX"
"28540",,,"Micro","13,745","Ketchikan, AK",,
"28580",,"370","Micro","76,745","Key West, FL",,"Miami-Port St. Lucie-Fort Lauderdale, FL"
"28620",,"545","Micro","39,502","Kill Devil Hills, NC",,"Virginia Beach-Norfolk, VA-NC"
"28660",,,"Metro","432,797","Killeen-Temple, TX",,
"28700",,"304","Metro","306,745","Kingsport-Bristol, TN-VA",,"Johnson City-Kingsport-Bristol, TN-VA"
"28740",,"408","Metro","180,129","Kingston, NY",,"New York-Newark, NY-NJ-CT-PA"
"28780",,"204","Micro","32,104","Kingsville, TX",,"Corpus Christi-Kingsville-Alice, TX"
"28820",,"272","Micro","57,934","Kinston, NC",,"Greenville-Kinston-Washington, NC"
"28860",,,"Micro","29,887","Kirksville, MO",,
"28900",,,"Micro","66,018","Klamath Falls, OR",,
"28940",,"315","Metro","862,490","Knoxville, TN",,"Knoxville-Morristown-Sevierville, TN"
"29020",,"316","Metro","82,457","Kokomo, IN",,"Kokomo-Peru, IN"
"29060",,"148","Micro","60,383","Laconia, NH",,"Boston-Worcester-Providence, MA-RI-NH-CT"
"29100",,,"Metro","136,291","La Crosse-Onalaska, WI-MN",,
"29180",,"318","Metro","487,633","Lafayette, LA",,"Lafayette-Opelousas-Morgan City, LA"
"29200",,"320","Metro","214,760","Lafayette-West Lafayette, IN",,"Lafayette-West Lafayette-Frankfort, IN"
"29260",,,"Micro","25,810","La Grande, OR",,
"29300",,"122","Micro","69,433","LaGrange, GA-AL",,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
"29340",,"324","Metro","205,559","Lake Charles, LA",,"Lake Charles-Jennings, LA"
"29380",,"264","Micro","68,484","Lake City, FL",,"Gainesville-Lake City, FL"
"29420",,,"Metro","204,691","Lake Havasu City-Kingman, AZ",,
"29460",,"422","Metro","652,256","Lakeland-Winter Haven, FL",,"Orlando-Lakeland-Deltona, FL"
"29500",,,"Micro","13,095","Lamesa, TX",,
"29540",,,"Metro","536,494","Lancaster, PA",,
"29620",,,"Metro","472,092","Lansing-East Lansing, MI",,
"29660",,,"Micro","37,944","Laramie, WY",,
"29700",,,"Metro","269,624","Laredo, TX",,
"29740",,"238","Metro","213,849","Las Cruces, NM",,"El Paso-Las Cruces, TX-NM"
"29780",,"106","Micro","28,203","Las Vegas, NM",,"Albuquerque-Santa Fe-Las Vegas, NM"
"29820",,"332","Metro","2,112,436","Las Vegas-Henderson-Paradise, NV",,"Las Vegas-Henderson, NV"
"29860",,"279","Micro","84,875","Laurel, MS",,"Hattiesburg-Laurel, MS"
"29900",,"246","Micro","35,445","Laurinburg, NC",,"Fayetteville-Sanford-Lumberton, NC"
"29940",,"312","Metro","117,806","Lawrence, KS",,"Kansas City-Overland Park-Kansas City, MO-KS"
"29980",,"400","Micro","42,591","Lawrenceburg, TN",,"Nashville-Davidson--Murfreesboro, TN"
"30020",,,"Metro","129,066","Lawton, OK",,
"30060",,,"Micro","35,488","Lebanon, MO",,
"30100",,,"Micro","217,710","Lebanon, NH-VT",,
"30140",,"276","Metro","137,616","Lebanon, PA",,"Harrisburg-York-Lebanon, PA"
"30220",,"352","Micro","23,273","Levelland, TX",,"Lubbock-Plainview-Levelland, TX"
"30260",,"146","Micro","45,056","Lewisburg, PA",,"Bloomsburg-Berwick-Sunbury, PA"
"30280",,"400","Micro","31,753","Lewisburg, TN",,"Nashville-Davidson--Murfreesboro, TN"
"30300",,,"Metro","62,273","Lewiston, ID-WA",,
"30340",,"438","Metro","107,317","Lewiston-Auburn, ME",,"Portland-Lewiston-South Portland, ME"
"30380",,,"Micro","46,452","Lewistown, PA",,
"30420",,,"Micro","25,944","Lexington, NE",,
"30460",,"336","Metro","500,689","Lexington-Fayette, KY",,"Lexington-Fayette--Richmond--Frankfort, KY"
"30580",,,"Micro","22,948","Liberal, KS",,
"30620",,"338","Metro","104,157","Lima, OH",,"Lima-Van Wert-Celina, OH"
"30660",,"522","Micro","29,488","Lincoln, IL",,"Springfield-Jacksonville-Lincoln, IL"
"30700",,"339","Metro","323,402","Lincoln, NE",,"Lincoln-Beatrice, NE"
"30780",,"340","Metro","730,346","Little Rock-North Little Rock-Conway, AR",,"Little Rock-North Little Rock, AR"
"30820",,"558","Micro","39,321","Lock Haven, PA",,"Williamsport-Lock Haven, PA"
"30860",,,"Metro","133,408","Logan, UT-ID",,
"30900",,,"Micro","38,248","Logansport, IN",,
"30940",,,"Micro","127,352","London, KY",,
"30980",,,"Metro","216,934","Longview, TX",,
"31020",,"440","Metro","103,590","Longview, WA",,"Portland-Vancouver-Salem, OR-WA"
"31060",,"106","Micro","18,031","Los Alamos, NM",,"Albuquerque-Santa Fe-Las Vegas, NM"
"31080","11244","348","Metro","13,261,538","Los Angeles-Long Beach-Anaheim, CA","Anaheim-Santa Ana-Irvine, CA","Los Angeles-Long Beach, CA"
"31080","31084","348","Metro","13,261,538","Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Glendale, CA","Los Angeles-Long Beach, CA"
"31140",,"350","Metro","1,278,203","Louisville/Jefferson County, KY-IN",,"Louisville/Jefferson County--Elizabethtown--Bardstown, KY-IN"
"31180",,"352","Metro","309,722","Lubbock, TX",,"Lubbock-Plainview-Levelland, TX"
"31220",,,"Micro","28,800","Ludington, MI",,
"31260",,,"Micro","87,700","Lufkin, TX",,
"31300",,"246","Micro","134,187","Lumberton, NC",,"Fayetteville-Sanford-Lumberton, NC"
"31340",,,"Metro","258,995","Lynchburg, VA",,
"31380",,,"Micro","31,597","Macomb, IL",,
"31420",,"356","Metro","229,966","Macon-Bibb County, GA",,"Macon-Bibb County--Warner Robins, GA"
"31460",,"260","Metro","154,440","Madera, CA",,"Fresno-Madera-Hanford, CA"
"31500",,,"Micro","32,293","Madison, IN",,
"31540",,"357","Metro","640,072","Madison, WI",,"Madison-Janesville-Beloit, WI"
"31580",,,"Micro","45,985","Madisonville, KY",,
"31620",,,"Micro","23,992","Magnolia, AR",,
"31660",,,"Micro","51,054","Malone, NY",,
"31680",,"284","Micro","33,480","Malvern, AR",,"Hot Springs-Malvern, AR"
"31700",,"148","Metro","406,371","Manchester-Nashua, NH",,"Boston-Worcester-Providence, MA-RI-NH-CT"
"31740",,,"Metro","98,884","Manhattan, KS",,
"31820",,,"Micro","79,680","Manitowoc, WI",,
"31860",,"359","Metro","99,244","Mankato, MN",,"Mankato-New Ulm, MN"
"31900",,"360","Metro","121,533","Mansfield, OH",,"Mansfield-Ashland-Bucyrus, OH"
"31930",,"425","Micro","60,871","Marietta, OH",,"Parkersburg-Marietta-Vienna, WV-OH"
"31940",,"361","Micro","64,101","Marinette, WI-MI",,"Marinette-Iron Mountain, WI-MI"
"31980",,,"Micro","67,615","Marion, IN",,
"32000",,"120","Micro","45,069","Marion, NC",,"Asheville-Marion-Brevard, NC"
"32020",,"198","Micro","65,483","Marion, OH",,"Columbus-Marion-Zanesville, OH"
"32100",,,"Micro","67,145","Marquette, MI",,
"32140",,,"Micro","25,789","Marshall, MN",,
"32180",,,"Micro","23,010","Marshall, MO",,
"32260",,,"Micro","40,476","Marshalltown, IA",,
"32280",,"362","Micro","33,776","Martin, TN",,"Martin-Union City, TN"
"32300",,,"Micro","65,212","Martinsville, VA",,
"32340",,,"Micro","22,744","Maryville, MO",,
"32380",,,"Micro","50,636","Mason City, IA",,
"32420",,"364","Metro","96,089","Mayagüez, PR",,"Mayagüez-San Germán, PR"
"32460",,"424","Micro","37,259","Mayfield, KY",,"Paducah-Mayfield, KY-IL"
"32500",,"178","Micro","17,167","Maysville, KY",,"Cincinnati-Wilmington-Maysville, OH-KY-IN"
"32540",,,"Micro","44,673","McAlester, OK",,
"32580",,"365","Metro","839,539","McAllen-Edinburg-Mission, TX",,"McAllen-Edinburg, TX"
"32620",,,"Micro","52,337","McComb, MS",,
"32660",,,"Micro","40,210","McMinnville, TN",,
"32700",,,"Micro","28,792","McPherson, KS",,
"32740",,"240","Micro","86,847","Meadville, PA",,"Erie-Meadville, PA"
"32780",,"366","Metro","212,070","Medford, OR",,"Medford-Grants Pass, OR"
"32820",,"368","Metro","1,344,058","Memphis, TN-MS-AR",,"Memphis-Forrest City, TN-MS-AR"
"32860",,"232","Micro","44,260","Menomonie, WI",,"Eau Claire-Menomonie, WI"
"32900",,"488","Metro","267,390","Merced, CA",,"San Jose-San Francisco-Oakland, CA"
"32940",,,"Micro","104,392","Meridian, MS",,
"33020",,"190","Micro","25,763","Mexico, MO",,"Columbia-Moberly-Mexico, MO"
"33060",,"309","Micro","31,725","Miami, OK",,"Joplin-Miami, MO-OK"
"33100","22744","370","Metro","6,019,790","Miami-Fort Lauderdale-Pompano Beach, FL","Fort Lauderdale-Pompano Beach-Sunrise, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
"33100","33124","370","Metro","6,019,790","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Miami Beach-Kendall, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
"33100","48424","370","Metro","6,019,790","Miami-Fort Lauderdale-Pompano Beach, FL","West Palm Beach-Boca Raton-Boynton Beach, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
"33140",,"176","Metro","110,839","Michigan City-La Porte, IN",,"Chicago-Naperville, IL-IN-WI"
"33180",,,"Micro","27,469","Middlesborough, KY",,
"33220",,"474","Metro","83,489","Midland, MI",,"Saginaw-Midland-Bay City, MI"
"33260",,"372","Metro","165,430","Midland, TX",,"Midland-Odessa, TX"
"33300",,,"Micro","54,194","Milledgeville, GA",,
"33340",,"376","Metro","1,575,101","Milwaukee-Waukesha, WI",,"Milwaukee-Racine-Waukesha, WI"
"33380",,"508","Micro","42,322","Minden, LA",,"Shreveport-Bossier City-Minden, LA"
"33420",,"206","Micro","28,109","Mineral Wells, TX",,"Dallas-Fort Worth, TX-OK"
"33460",,"378","Metro","3,526,149","Minneapolis-St. Paul-Bloomington, MN-WI",,"Minneapolis-St. Paul, MN-WI"
"33500",,,"Micro","78,122","Minot, ND",,
"33540",,,"Metro","114,231","Missoula, MT",,
"33580",,,"Micro","23,157","Mitchell, SD",,
"33620",,"190","Micro","24,987","Moberly, MO",,"Columbia-Moberly-Mexico, MO"
"33660",,"380","Metro","414,328","Mobile, AL",,"Mobile-Daphne-Fairhope, AL"
"33700",,"488","Metro","535,684","Modesto, CA",,"San Jose-San Francisco-Oakland, CA"
"33740",,"384","Metro","178,970","Monroe, LA",,"Monroe-Ruston, LA"
"33780",,"220","Metro","149,619","Monroe, MI",,"Detroit-Warren-Ann Arbor, MI"
"33860",,"388","Metro","373,507","Montgomery, AL",,"Montgomery-Selma-Alexander City, AL"
"33940",,,"Micro","40,908","Montrose, CO",,
"33980",,"404","Micro","68,699","Morehead City, NC",,"New Bern-Morehead City, NC"
"34020",,"318","Micro","52,578","Morgan City, LA",,"Lafayette-Opelousas-Morgan City, LA"
"34060",,"390","Metro","137,475","Morgantown, WV",,"Morgantown-Fairmont, WV"
"34100",,"315","Metro","116,352","Morristown, TN",,"Knoxville-Morristown-Sevierville, TN"
"34140",,"446","Micro","38,697","Moscow, ID",,"Pullman-Moscow, WA-ID"
"34180",,"393","Micro","93,420","Moses Lake, WA",,"Moses Lake-Othello, WA"
"34220",,,"Micro","45,890","Moultrie, GA",,
"34260",,,"Micro","41,093","Mountain Home, AR",,
"34300",,"147","Micro","26,232","Mountain Home, ID",,"Boise City-Mountain Home-Ontario, ID-OR"
"34340",,"268","Micro","72,315","Mount Airy, NC",,"Greensboro--Winston-Salem--High Point, NC"
"34350",,"170","Micro","35,926","Mount Gay-Shamrock, WV",,"Charleston-Huntington-Ashland, WV-OH-KY"
"34380",,"394","Micro","70,572","Mount Pleasant, MI",,"Mount Pleasant-Alma, MI"
"34420",,,"Micro","32,664","Mount Pleasant, TX",,
"34460",,"336","Micro","46,120","Mount Sterling, KY",,"Lexington-Fayette--Richmond--Frankfort, KY"
"34500",,,"Micro","38,358","Mount Vernon, IL",,
"34540",,"198","Micro","60,945","Mount Vernon, OH",,"Columbus-Marion-Zanesville, OH"
"34580",,"500","Metro","121,725","Mount Vernon-Anacortes, WA",,"Seattle-Tacoma, WA"
"34620",,"294","Metro","115,938","Muncie, IN",,"Indianapolis-Carmel-Muncie, IN"
"34660",,,"Micro","38,616","Murray, KY",,
"34700",,"209","Micro","42,923","Muscatine, IA",,"Davenport-Moline, IA-IL"
"34740",,"266","Metro","172,707","Muskegon, MI",,"Grand Rapids-Kentwood-Muskegon, MI"
"34780",,"538","Micro","69,471","Muskogee, OK",,"Tulsa-Muskogee-Bartlesville, OK"
"34820",,"396","Metro","432,772","Myrtle Beach-Conway-North Myrtle Beach, SC-NC",,"Myrtle Beach-Conway, SC-NC"
"34860",,,"Micro","65,411","Nacogdoches, TX",,
"34900",,"488","Metro","141,005","Napa, CA",,"San Jose-San Francisco-Oakland, CA"
"34940",,"163","Metro","356,774","Naples-Marco Island, FL",,"Cape Coral-Fort Myers-Naples, FL"
"34980",,"400","Metro","1,830,410","Nashville-Davidson--Murfreesboro--Franklin, TN",,"Nashville-Davidson--Murfreesboro, TN"
"35020",,,"Micro","51,794","Natchez, MS-LA",,
"35060",,,"Micro","39,051","Natchitoches, LA",,
"35100",,"404","Metro","125,953","New Bern, NC",,"New Bern-Morehead City, NC"
"35140",,"192","Micro","37,914","Newberry, SC",,"Columbia-Orangeburg-Newberry, SC"
"35220",,"294","Micro","48,649","New Castle, IN",,"Indianapolis-Carmel-Muncie, IN"
"35260",,"430","Micro","88,231","New Castle, PA",,"Pittsburgh-New Castle-Weirton, PA-OH-WV"
"35300",,"408","Metro","862,127","New Haven-Milford, CT",,"New York-Newark, NY-NJ-CT-PA"
"35380",,"406","Metro","1,260,660","New Orleans-Metairie, LA",,"New Orleans-Metairie-Hammond, LA-MS"
"35420",,"184","Micro","92,531","New Philadelphia-Dover, OH",,"Cleveland-Akron-Canton, OH"
"35440",,,"Micro","47,307","Newport, OR",,
"35460",,"315","Micro","35,262","Newport, TN",,"Knoxville-Morristown-Sevierville, TN"
"35580",,"359","Micro","25,243","New Ulm, MN",,"Mankato-New Ulm, MN"
"35620","35004","408","Metro","20,192,042","New York-Newark-Jersey City, NY-NJ-PA","Nassau County-Suffolk County, NY","New York-Newark, NY-NJ-CT-PA"
"35620","35084","408","Metro","20,192,042","New York-Newark-Jersey City, NY-NJ-PA","Newark, NJ-PA","New York-Newark, NY-NJ-CT-PA"
"35620","35154","408","Metro","20,192,042","New York-Newark-Jersey City, NY-NJ-PA","New Brunswick-Lakewood, NJ","New York-Newark, NY-NJ-CT-PA"
"35620","35614","408","Metro","20,192,042","New York-Newark-Jersey City, NY-NJ-PA","New York-Jersey City-White Plains, NY-NJ","New York-Newark, NY-NJ-CT-PA"
"35660",,"515","Metro","154,948","Niles, MI",,"South Bend-Elkhart-Mishawaka, IN-MI"
"35700",,"536","Micro","46,358","Nogales, AZ",,"Tucson-Nogales, AZ"
"35740",,,"Micro","48,257","Norfolk, NE",,
"35820",,,"Micro","36,920","North Platte, NE",,
"35840",,"412","Metro","768,381","North Port-Sarasota-Bradenton, FL",,"North Port-Sarasota, FL"
"35860",,"294","Micro","27,840","North Vernon, IN",,"Indianapolis-Carmel-Muncie, IN"
"35900",,,"Micro","68,525","North Wilkesboro, NC",,
"35940",,"184","Micro","58,497","Norwalk, OH",,"Cleveland-Akron-Canton, OH"
"35980",,"278","Metro","270,772","Norwich-New London, CT",,"Hartford-East Hartford, CT"
"36020",,"500","Micro","80,323","Oak Harbor, WA",,"Seattle-Tacoma, WA"
"36100",,,"Metro","343,778","Ocala, FL",,
"36140",,"428","Metro","94,549","Ocean City, NJ",,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
"36220",,"372","Metro","155,744","Odessa, TX",,"Midland-Odessa, TX"
"36260",,"482","Metro","642,274","Ogden-Clearfield, UT",,"Salt Lake City-Provo-Orem, UT"
"36300",,,"Micro","110,817","Ogdensburg-Massena, NY",,
"36340",,,"Micro","52,880","Oil City, PA",,
"36380",,,"Micro","40,228","Okeechobee, FL",,
"36420",,"416","Metro","1,353,504","Oklahoma City, OK",,"Oklahoma City-Shawnee, OK"
"36460",,"160","Micro","78,175","Olean, NY",,"Buffalo-Cheektowaga-Olean, NY"
"36500",,"500","Metro","269,885","Olympia-Lacey-Tumwater, WA",,"Seattle-Tacoma, WA"
"36540",,"420","Metro","914,190","Omaha-Council Bluffs, NE-IA",,"Omaha-Council Bluffs-Fremont, NE-IA"
"36580",,,"Micro","60,750","Oneonta, NY",,
